{'utc': datetime.datetime(2020, 4, 25, 23, 12, 39, 306541), 'gpstime': '231239.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 30.95483329518578, 'Humidity': 25.88387884336614, 'Sampling Period': 20.239295959472656, 'PM1': 0.0, 'PM2.5': 0.0, 'PM10': 0.0}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 39, 441540), 'gpstime': '231239.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.026932173647666, 'Humidity': 25.810635538261998, 'Sampling Period': 0.1040213331580162, 'PM1': 10.19757080078125, 'PM2.5': 15.600187301635742, 'PM10': 15.738639831542969}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 39, 577898), 'gpstime': '231239.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.026932173647666, 'Humidity': 25.810635538261998, 'Sampling Period': 0.10414933413267136, 'PM1': 9.863149642944336, 'PM2.5': 16.325212478637695, 'PM10': 16.495267868041992}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 39, 714153), 'gpstime': '231239.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.026932173647666, 'Humidity': 25.749599450675213, 'Sampling Period': 0.10406400263309479, 'PM1': 6.758807182312012, 'PM2.5': 10.988183975219727, 'PM10': 11.098904609680176}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 39, 850334), 'gpstime': '231239.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.04028381780728, 'Humidity': 25.828946364538034, 'Sampling Period': 0.10412800312042236, 'PM1': 4.481216907501221, 'PM2.5': 9.669839859008789, 'PM10': 9.984458923339844}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 39, 989615), 'gpstime': '231239.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.056305790798817, 'Humidity': 25.813687342641337, 'Sampling Period': 0.10551466792821884, 'PM1': 2.419745922088623, 'PM2.5': 3.8109302520751953, 'PM10': 3.846975088119507}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 40, 133554), 'gpstime': '231240.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.026932173647666, 'Humidity': 25.79690241855497, 'Sampling Period': 0.10557866841554642, 'PM1': 4.374057769775391, 'PM2.5': 6.476822853088379, 'PM10': 6.5299391746521}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 40, 290700), 'gpstime': '231240.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.056305790798817, 'Humidity': 25.79995422293431, 'Sampling Period': 0.10434133559465408, 'PM1': 4.7960524559021, 'PM2.5': 7.553446292877197, 'PM10': 7.624889373779297}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 40, 427576), 'gpstime': '231240.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.04028381780728, 'Humidity': 25.76485847257191, 'Sampling Period': 0.10406400263309479, 'PM1': 4.771173000335693, 'PM2.5': 7.514262676239014, 'PM10': 7.585334777832031}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 40, 563621), 'gpstime': '231240.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.056305790798817, 'Humidity': 25.76791027695125, 'Sampling Period': 0.10406400263309479, 'PM1': 6.015410900115967, 'PM2.5': 9.956542015075684, 'PM10': 10.060256004333496}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 40, 699966), 'gpstime': '231240.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '04', 'HDOP': '3.48', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.056305790798817, 'Humidity': 25.76791027695125, 'Sampling Period': 0.10419200360774994, 'PM1': 6.103028774261475, 'PM2.5': 10.10156536102295, 'PM10': 10.20678997039795}
